STATISTIC,STATISTIC Label,TLIST(A1),Year,C02293V02763,Direction,C03042V03675,Route,UNIT,VALUE
ASA02,Air and Sea Travel,2020,2020,2,Departures,03,Transatlantic,Thousand,295.1
ASA02,Air and Sea Travel,2020,2020,2,Departures,04,Other,Thousand,153.3
ASA02,Air and Sea Travel,2021,2021,1,Arrivals,-,All routes of travel,Thousand,4955.9
ASA02,Air and Sea Travel,2021,2021,1,Arrivals,01,Cross channel,Thousand,1694.4
ASA02,Air and Sea Travel,2021,2021,1,Arrivals,02,Continental Europe,Thousand,2825.2
ASA02,Air and Sea Travel,2021,2021,1,Arrivals,03,Transatlantic,Thousand,271.6
ASA02,Air and Sea Travel,2021,2021,1,Arrivals,04,Other,Thousand,164.7
ASA02,Air and Sea Travel,2021,2021,2,Departures,-,All routes of travel,Thousand,5022
ASA02,Air and Sea Travel,2021,2021,2,Departures,01,Cross channel,Thousand,1757.5
ASA02,Air and Sea Travel,2021,2021,2,Departures,02,Continental Europe,Thousand,2839.3
ASA02,Air and Sea Travel,2021,2021,2,Departures,03,Transatlantic,Thousand,276
ASA02,Air and Sea Travel,2021,2021,2,Departures,04,Other,Thousand,149.2
ASA02,Air and Sea Travel,2022,2022,1,Arrivals,-,All routes of travel,Thousand,17257
ASA02,Air and Sea Travel,2022,2022,1,Arrivals,01,Cross channel,Thousand,6051.9
ASA02,Air and Sea Travel,2022,2022,1,Arrivals,02,Continental Europe,Thousand,8929.8
ASA02,Air and Sea Travel,2022,2022,1,Arrivals,03,Transatlantic,Thousand,1714.7
ASA02,Air and Sea Travel,2022,2022,1,Arrivals,04,Other,Thousand,560.6
ASA02,Air and Sea Travel,2022,2022,2,Departures,-,All routes of travel,Thousand,17172.3
ASA02,Air and Sea Travel,2022,2022,2,Departures,01,Cross channel,Thousand,6016.7
ASA02,Air and Sea Travel,2022,2022,2,Departures,02,Continental Europe,Thousand,8836.9
ASA02,Air and Sea Travel,2022,2022,2,Departures,03,Transatlantic,Thousand,1773.1
ASA02,Air and Sea Travel,2022,2022,2,Departures,04,Other,Thousand,545.7
ASA02,Air and Sea Travel,2023,2023,1,Arrivals,-,All routes of travel,Thousand,20625.6
ASA02,Air and Sea Travel,2023,2023,1,Arrivals,01,Cross channel,Thousand,7251.5
ASA02,Air and Sea Travel,2023,2023,1,Arrivals,02,Continental Europe,Thousand,10506.2
ASA02,Air and Sea Travel,2023,2023,1,Arrivals,03,Transatlantic,Thousand,2063.4
ASA02,Air and Sea Travel,2023,2023,1,Arrivals,04,Other,Thousand,804.6
ASA02,Air and Sea Travel,2023,2023,2,Departures,-,All routes of travel,Thousand,20626.2
ASA02,Air and Sea Travel,2023,2023,2,Departures,01,Cross channel,Thousand,7216.1
ASA02,Air and Sea Travel,2023,2023,2,Departures,02,Continental Europe,Thousand,10485
ASA02,Air and Sea Travel,2023,2023,2,Departures,03,Transatlantic,Thousand,2139.5
ASA02,Air and Sea Travel,2023,2023,2,Departures,04,Other,Thousand,785.6
""
